File: testdata6.txt
Lines: 808, Words: 5038, Characters: 36823
Word Frequencies:
| Word | Count | Relative Frequency |
|------|-------|-------------------|
| et | 166 | 3.29% |
| in | 48 | 0.95% |
| per | 27 | 0.54% |
| atque | 25 | 0.50% |
| aut | 24 | 0.48% |
| quae | 22 | 0.44% |
| ad | 21 | 0.42% |
| iam | 20 | 0.40% |
| cum | 19 | 0.38% |
| nec | 19 | 0.38% |
| aeneas | 19 | 0.38% |
| tum | 18 | 0.36% |
| hic | 17 | 0.34% |
| non | 17 | 0.34% |
| te | 16 | 0.32% |
| est | 15 | 0.30% |
| sic | 15 | 0.30% |
| o | 14 | 0.28% |
| nunc | 14 | 0.28% |
| ab | 13 | 0.26% |
| haec | 13 | 0.26% |
| qui | 13 | 0.26% |
| se | 13 | 0.26% |
| dido | 13 | 0.26% |
| ille | 12 | 0.24% |
| si | 12 | 0.24% |
| sed | 11 | 0.22% |
| sub | 11 | 0.22% |
| ac | 11 | 0.22% |
| ubi | 11 | 0.22% |
| a | 11 | 0.22% |
| arma | 10 | 0.20% |
| dum | 10 | 0.20% |
| dea | 10 | 0.20% |
| hinc | 10 | 0.20% |
| ut | 10 | 0.20% |
| urbem | 9 | 0.18% |
| circum | 9 | 0.18% |
| quem | 9 | 0.18% |
| tibi | 9 | 0.18% |
| mihi | 9 | 0.18% |
| quibus | 9 | 0.18% |
| at | 9 | 0.18% |
| multa | 8 | 0.16% |
| genus | 8 | 0.16% |
| moenia | 8 | 0.16% |
| tot | 8 | 0.16% |
| quam | 8 | 0.16% |
| super | 8 | 0.16% |
| erat | 8 | 0.16% |
| pectore | 8 | 0.16% |
| regina | 8 | 0.16% |
| magno | 8 | 0.16% |
| his | 8 | 0.16% |
| qua | 8 | 0.16% |
| ante | 8 | 0.16% |
| troiae | 8 | 0.16% |
| rerum | 8 | 0.16% |
| libyae | 7 | 0.14% |
| talia | 7 | 0.14% |
| namque | 7 | 0.14% |
| quid | 7 | 0.14% |
| quis | 7 | 0.14% |
| saxa | 7 | 0.14% |
| venus | 7 | 0.14% |
| oris | 7 | 0.14% |
| quo | 7 | 0.14% |
| quoque | 6 | 0.12% |
| virum | 6 | 0.12% |
| iuno | 6 | 0.12% |
| classem | 6 | 0.12% |
| pater | 6 | 0.12% |
| dedit | 6 | 0.12% |
| italiam | 6 | 0.12% |
| tu | 6 | 0.12% |
| litora | 6 | 0.12% |
| viris | 6 | 0.12% |
| aeneae | 6 | 0.12% |
| undis | 6 | 0.12% |
| inter | 6 | 0.12% |
| vos | 6 | 0.12% |
| simul | 6 | 0.12% |
| ipse | 6 | 0.12% |
| dictis | 6 | 0.12% |
| navibus | 6 | 0.12% |
| primum | 6 | 0.12% |
| achates | 6 | 0.12% |
| neque | 6 | 0.12% |
| fata | 6 | 0.12% |
| res | 6 | 0.12% |
| unde | 5 | 0.10% |
| fuit | 5 | 0.10% |
| olim | 5 | 0.10% |
| omnia | 5 | 0.10% |
| aequora | 5 | 0.10% |
| ventis | 5 | 0.10% |
| rex | 5 | 0.10% |
| illi | 5 | 0.10% |
| animos | 5 | 0.10% |
| hoc | 5 | 0.10% |
| fluctus | 5 | 0.10% |
| ex | 5 | 0.10% |
| gentis | 5 | 0.10% |
| ingens | 5 | 0.10% |
| summo | 5 | 0.10% |
| interea | 5 | 0.10% |
| quos | 5 | 0.10% |
| ait | 5 | 0.10% |
